number,Date,date1,total_cost,subtotal,country,total_payed,excise_tax,free_shipping,Margin $,Margin %
#243152,7/15/2021,7/15/2021,33.14,65.74,US,77.73,0,FALSE,29.4908,44.86%
#243151,7/15/2021,7/15/2021,49.5,81.76,US,88.75,0,TRUE,28.71,35.11%
#243150,7/15/2021,7/15/2021,12.5,22.94,US,34.93,0,FALSE,9.0428,39.42%
#243149,7/15/2021,7/15/2021,51.45,101.21,US,108.2,14.5,TRUE,30.932,30.56%
#243147,7/15/2021,7/15/2021,58.33,108.4,US,115.39,0,TRUE,45.4544,41.93%
#243146,7/15/2021,7/15/2021,43.75,76.46,US,83.45,0,TRUE,29.372,38.41%
#243145,7/15/2021,7/15/2021,25.5,39.76,US,51.75,0,FALSE,12.19,30.66%
#243144,7/15/2021,7/15/2021,28,48.35,US,60.34,0,FALSE,17.9364,37.10%
#243143,7/15/2021,7/15/2021,16.14,29.8,US,41.79,4.97,FALSE,7.0184,23.55%
#243140,7/15/2021,7/15/2021,18.85,40.59,US,52.58,5.6,FALSE,14.0368,34.58%
#243139,7/15/2021,7/15/2021,28.25,49.13,US,61.12,0,FALSE,18.4352,37.52%
#243138,7/15/2021,7/15/2021,44.39,94.57,US,101.56,3.96,TRUE,42.1576,44.58%
#243137,7/15/2021,7/15/2021,42.14,73.25,US,92.2,0,FALSE,27.422,37.44%
#243136,7/15/2021,7/15/2021,23.33,42.51,US,54.5,7,FALSE,10,23.52%
#243135,7/15/2021,7/15/2021,19.5,36.81,US,51.48,0,FALSE,15.2508,41.43%
#243134,7/15/2021,7/15/2021,48.25,100.78,US,107.77,9.38,TRUE,38.8392,38.54%
#243133,7/15/2021,7/15/2021,14,36.68,US,48.67,9.1,FALSE,11.6332,31.72%
#243132,7/15/2021,7/15/2021,94.44,179.53,AU,225.86,0,TRUE,76.0556,42.36%
#243131,7/15/2021,7/15/2021,41,76.55,US,83.54,0,TRUE,32.2084,42.07%
#243130,7/15/2021,7/15/2021,16.5,26.88,US,38.87,0,FALSE,8.8252,32.83%
#243129,7/15/2021,7/15/2021,29.56,46.58,US,58.57,0,FALSE,14.6772,31.51%
#243128,7/15/2021,7/15/2021,55.5,101.8,US,113.79,0,TRUE,41.7484,41.01%
#243127,7/15/2021,7/15/2021,14.78,29.03,US,41.02,3,FALSE,9.6092,33.10%
#243126,7/15/2021,7/15/2021,51.5,131.17,US,138.16,15.45,TRUE,58.6936,44.75%
